,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,date,week_day,day,month
53595,170548083,10/18/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,25-44,M,WHITE HISPANIC,996036.0,197616.0,40.70908739400005,-73.95748999799997,2017-10-18,2,18,10
53597,170548060,10/18/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-18,2,18,10
53627,170542682,10/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,0.0,18-24,F,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-18,2,18,10
53932,170561589,10/18/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,F,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-18,2,18,10
54077,170525955,10/18/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,90,0.0,45-64,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-18,2,18,10
54126,170537280,10/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-18,2,18,10
54343,170540105,10/18/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,WHITE HISPANIC,994302.0,196668.0,40.70648749700007,-73.96374585499996,2017-10-18,2,18,10
54429,170510933,10/17/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,18-24,M,WHITE HISPANIC,996642.0,197629.0,40.70912224800003,-73.95530416599996,2017-10-17,1,17,10
54493,170486197,10/17/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,94,0.0,18-24,M,BLACK,997580.0,207756.0,40.736917049000056,-73.95190079599996,2017-10-17,1,17,10
54981,170494480,10/17/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402501,F,K,90,0.0,45-64,F,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-17,1,17,10
55841,170410616,10/15/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,94,0.0,25-44,F,WHITE,999762.0,201761.0,40.720458681000025,-73.94404097499995,2017-10-15,6,15,10
55944,170416366,10/15/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,M,WHITE,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-15,6,15,10
56082,170410614,10/15/2017,510.0,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117.0,DANGEROUS DRUGS,PL 2200601,F,K,90,2.0,25-44,M,UNKNOWN,999511.0,197057.0,40.70754776000007,-73.94495713599997,2017-10-15,6,15,10
56579,170399969,10/14/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1702500,F,K,90,1.0,45-64,M,WHITE HISPANIC,1000351.0,194575.0,40.700733765000045,-73.94193330699994,2017-10-14,5,14,10
56674,170403465,10/14/2017,419.0,"LARCENY,GRAND FROM PERSON,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553005,F,K,94,0.0,25-44,M,WHITE,996710.0,201714.0,40.720334501000025,-73.95505133399995,2017-10-14,5,14,10
56747,170406391,10/14/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,25-44,M,BLACK,999261.0,195217.0,40.70249782100007,-73.94586295199997,2017-10-14,5,14,10
56762,170396391,10/14/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,25-44,F,BLACK,998236.0,197297.0,40.708208610000035,-73.94955538499994,2017-10-14,5,14,10
56835,170410341,10/14/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,F,WHITE,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-14,5,14,10
56859,170410337,10/14/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE HISPANIC,996074.0,202065.0,40.721298785000045,-73.95734512099993,2017-10-14,5,14,10
56862,170410334,10/14/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE HISPANIC,996074.0,202065.0,40.721298785000045,-73.95734512099993,2017-10-14,5,14,10
56956,170382232,10/14/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,BLACK HISPANIC,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-14,5,14,10
57181,170394081,10/14/2017,409.0,"LARCENY,GRAND BY EXTORTION",109.0,GRAND LARCENY,PL 1553006,F,K,90,0.0,25-44,F,WHITE HISPANIC,992993.0,197535.0,40.70886859700005,-73.96846603499995,2017-10-14,5,14,10
57282,170380243,10/13/2017,510.0,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117.0,DANGEROUS DRUGS,PL 2200601,F,K,94,0.0,45-64,M,BLACK HISPANIC,995677.0,205941.0,40.73193798400007,-73.95877075899993,2017-10-13,4,13,10
57633,170357453,10/13/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-13,4,13,10
57663,170354477,10/13/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,94,0.0,25-44,M,WHITE,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-13,4,13,10
57922,170366128,10/13/2017,105.0,STRANGULATION 1ST,106.0,FELONY ASSAULT,PL 1211200,F,K,90,2.0,25-44,M,BLACK HISPANIC,994231.0,196250.0,40.705340265000075,-73.96400255699997,2017-10-13,4,13,10
57925,170367897,10/13/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,25-44,F,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-13,4,13,10
58099,170358998,10/13/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,0.0,25-44,M,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-13,4,13,10
58146,170343405,10/12/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-12,3,12,10
58153,170343391,10/12/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,BLACK,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-12,3,12,10
58535,170337441,10/12/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450500,F,K,94,0.0,25-44,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-12,3,12,10
58726,170317769,10/12/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-12,3,12,10
58786,170345750,10/12/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE HISPANIC,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-12,3,12,10
58914,170317772,10/12/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-12,3,12,10
58960,170337443,10/12/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-12,3,12,10
58984,170345759,10/12/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE HISPANIC,995876.0,202226.0,40.72174095400004,-73.95805914799999,2017-10-12,3,12,10
59119,170293062,10/11/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,45-64,F,WHITE HISPANIC,1000735.0,194966.0,40.70180626100006,-73.940547457,2017-10-11,2,11,10
59129,170259215,10/11/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,45-64,M,WHITE HISPANIC,995778.0,198024.0,40.71020759600003,-73.95841989199994,2017-10-11,2,11,10
59191,170277867,10/11/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-11,2,11,10
59268,170287449,10/11/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,18-24,M,BLACK HISPANIC,995845.0,196897.0,40.70711416000006,-73.95818016199999,2017-10-11,2,11,10
59308,170293053,10/11/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,WHITE HISPANIC,999776.0,195025.0,40.701969937000065,-73.944006002,2017-10-11,2,11,10
59363,170277868,10/11/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-11,2,11,10
59382,170280222,10/11/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-11,2,11,10
59383,170277871,10/11/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-11,2,11,10
59663,170293056,10/11/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,18-24,M,WHITE HISPANIC,995845.0,196897.0,40.70711416000006,-73.95818016199999,2017-10-11,2,11,10
59751,170282490,10/11/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,25-44,M,BLACK,998385.0,198646.0,40.711911058000055,-73.94901512499997,2017-10-11,2,11,10
59770,170287442,10/11/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510D,F,K,90,0.0,25-44,M,WHITE,999554.0,196657.0,40.70644978000007,-73.94480294999995,2017-10-11,2,11,10
60020,170280220,10/11/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-11,2,11,10
60343,170256822,10/10/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1703000,F,K,90,0.0,25-44,F,WHITE HISPANIC,995787.0,197101.0,40.70767416800004,-73.95838900999998,2017-10-10,1,10,10
60748,170253231,10/10/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-10,1,10,10
60879,170237414,10/10/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 120001H,F,K,94,0.0,<18,M,WHITE HISPANIC,996692.0,199880.0,40.715300636000045,-73.95511965899993,2017-10-10,1,10,10
60899,170223589,10/10/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,94,0.0,25-44,F,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-10,1,10,10
61156,170198069,10/09/2017,419.0,"LARCENY,GRAND FROM PERSON,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553005,F,K,90,0.0,<18,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-09,0,9,10
61227,170211269,10/09/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701501,F,K,94,0.0,25-44,M,BLACK,1000596.0,200507.0,40.71701525000003,-73.94103531599995,2017-10-09,0,9,10
61587,170208488,10/09/2017,792.0,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 2650303,F,K,94,0.0,25-44,M,WHITE,997834.0,205148.0,40.72975834300007,-73.95098951399994,2017-10-09,0,9,10
61685,170165835,10/08/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,M,WHITE,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-08,6,8,10
61858,170167898,10/08/2017,792.0,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 265031B,F,K,94,0.0,25-44,M,BLACK,995777.0,201299.0,40.719196691000036,-73.95841789099995,2017-10-08,6,8,10
61859,170166898,10/08/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,94,0.0,18-24,M,WHITE,1000340.0,200340.0,40.71655734500007,-73.94195920299995,2017-10-08,6,8,10
61885,170164978,10/08/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,90,0.0,25-44,M,WHITE,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-08,6,8,10
61944,170172352,10/08/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701003,F,K,94,0.0,25-44,M,WHITE,1000579.0,202425.0,40.722279730000025,-73.94109198899997,2017-10-08,6,8,10
62199,170172347,10/08/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450501,F,K,90,0.0,18-24,F,BLACK HISPANIC,994632.0,198871.0,40.71253382900005,-73.96255221299998,2017-10-08,6,8,10
62219,170160434,10/08/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,F,WHITE HISPANIC,993736.0,198993.0,40.712869696000034,-73.96578402999995,2017-10-08,6,8,10
62335,170146615,10/07/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,45-64,M,BLACK,1001438.0,194908.0,40.70164572700002,-73.93801220099994,2017-10-07,5,7,10
62422,170152087,10/07/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701003,F,K,90,0.0,45-64,M,BLACK HISPANIC,996908.0,199435.0,40.71407891200005,-73.95434132399998,2017-10-07,5,7,10
62443,170154988,10/07/2017,510.0,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117.0,DANGEROUS DRUGS,PL 2200601,F,K,94,0.0,25-44,M,WHITE,995053.0,201218.0,40.71897527900006,-73.96102984499998,2017-10-07,5,7,10
62474,170149580,10/07/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402501,F,K,90,0.0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-07,5,7,10
62831,170154056,10/07/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,94,0.0,25-44,M,WHITE HISPANIC,995053.0,201218.0,40.71897527900006,-73.96102984499998,2017-10-07,5,7,10
62986,170122082,10/06/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,<18,M,ASIAN / PACIFIC ISLANDER,998469.0,197981.0,40.71008565700004,-73.948713533,2017-10-06,4,6,10
63246,170128626,10/06/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,90,0.0,18-24,F,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-06,4,6,10
63859,170077051,10/05/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,94,0.0,<18,M,BLACK,996692.0,199880.0,40.715300636000045,-73.95511965899993,2017-10-05,3,5,10
63872,170095378,10/05/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,94,0.0,25-44,M,WHITE HISPANIC,994712.0,201165.0,40.71883021600007,-73.96226007699995,2017-10-05,3,5,10
63879,170095825,10/05/2017,502.0,"CONTROLLED SUBSTANCE,POSSESS. 3",117.0,DANGEROUS DRUGS,PL 2201611,F,K,94,0.0,25-44,M,WHITE HISPANIC,996074.0,202065.0,40.721298785000045,-73.95734512099993,2017-10-05,3,5,10
63915,170095484,10/05/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201806,F,K,94,0.0,25-44,M,WHITE HISPANIC,996074.0,202065.0,40.721298785000045,-73.95734512099993,2017-10-05,3,5,10
63921,170095379,10/05/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,94,0.0,25-44,M,WHITE HISPANIC,994712.0,201165.0,40.71883021600007,-73.96226007699995,2017-10-05,3,5,10
64887,170036708,10/04/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701004,F,K,90,1.0,45-64,M,WHITE HISPANIC,1000351.0,194575.0,40.700733765000045,-73.94193330699994,2017-10-04,2,4,10
65059,170039527,10/04/2017,139.0,"MURDER,UNCLASSIFIED",101.0,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252502,F,K,90,0.0,18-24,M,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-04,2,4,10
66294,169979986,10/03/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,94,0.0,45-64,M,BLACK HISPANIC,1000284.0,199799.0,40.71507253100003,-73.94216250299998,2017-10-03,1,3,10
66348,169967412,10/03/2017,500.0,"CONTROLLED SUBSTANCE,POSSESS. 1",117.0,DANGEROUS DRUGS,PL 2202101,F,K,94,0.0,25-44,M,WHITE,999117.0,204581.0,40.72820000400003,-73.94636162199998,2017-10-03,1,3,10
66392,169997548,10/03/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,WHITE,1000670.0,195485.0,40.703230916000045,-73.94078061799998,2017-10-03,1,3,10
66551,169965843,10/03/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-03,1,3,10
66562,169967413,10/03/2017,500.0,"CONTROLLED SUBSTANCE,POSSESS. 1",117.0,DANGEROUS DRUGS,PL 2202101,F,K,94,0.0,18-24,F,ASIAN / PACIFIC ISLANDER,999117.0,204581.0,40.72820000400003,-73.94636162199998,2017-10-03,1,3,10
66571,169977483,10/03/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,90,0.0,<18,F,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-03,1,3,10
66730,169984745,10/03/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-03,1,3,10
66787,169956150,10/02/2017,515.0,"CONTROLLED SUBSTANCE,SALE 3",117.0,DANGEROUS DRUGS,PL 2203901,F,K,90,0.0,18-24,M,BLACK,995655.0,197788.0,40.70955999200004,-73.95886395199994,2017-10-02,0,2,10
66806,169956148,10/02/2017,515.0,"CONTROLLED SUBSTANCE,SALE 3",117.0,DANGEROUS DRUGS,PL 2203901,F,K,90,0.0,18-24,M,WHITE HISPANIC,995655.0,197788.0,40.70955999200004,-73.95886395199994,2017-10-02,0,2,10
66816,169950667,10/02/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-10-02,0,2,10
67506,169920562,10/01/2017,510.0,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117.0,DANGEROUS DRUGS,PL 2200601,F,K,94,0.0,25-44,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-10-01,6,1,10
67640,169919555,10/01/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,BLACK HISPANIC,995054.0,198669.0,40.71197888200004,-73.96103032799994,2017-10-01,6,1,10
67695,169908202,10/01/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,94,0.0,25-44,M,BLACK,1001894.0,202617.0,40.72280419900005,-73.93634741599993,2017-10-01,6,1,10
67863,169903881,10/01/2017,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110E2,F,K,90,0.0,45-64,M,WHITE HISPANIC,1001076.0,196065.0,40.70482211600006,-73.93931487799993,2017-10-01,6,1,10
68306,169899222,09/30/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,25-44,M,BLACK,1003954.0,197201.0,40.707934228000056,-73.92893143599997,2017-09-30,5,30,9
68358,169899309,09/30/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,2.0,<18,M,BLACK,1002371.0,195221.0,40.70250297800004,-73.93464645599995,2017-09-30,5,30,9
68425,169882532,09/30/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,90,0.0,18-24,F,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-09-30,5,30,9
68514,169879817,09/30/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,94,0.0,25-44,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-09-30,5,30,9
68566,169899224,09/30/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601503,F,K,90,2.0,<18,M,BLACK,1000250.0,194656.0,40.70095627400008,-73.94229736999995,2017-09-30,5,30,9
68913,169870191,09/29/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,2.0,<18,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-09-29,4,29,9
68946,169854932,09/29/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701004,F,K,90,1.0,25-44,M,BLACK HISPANIC,1000351.0,194575.0,40.700733765000045,-73.94193330699994,2017-09-29,4,29,9
68988,169856832,09/29/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,18-24,M,BLACK HISPANIC,994421.0,198972.0,40.712811295000044,-73.963313165,2017-09-29,4,29,9
69005,169863919,09/29/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1703000,F,K,90,0.0,18-24,M,WHITE,995023.0,197049.0,40.707532403000066,-73.96114473899995,2017-09-29,4,29,9
69258,169849681,09/29/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650206,F,K,94,0.0,18-24,M,BLACK HISPANIC,1000579.0,202425.0,40.722279730000025,-73.94109198899997,2017-09-29,4,29,9
69303,169871187,09/29/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,0.0,<18,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-09-29,4,29,9
69445,169851276,09/29/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,90,0.0,25-44,M,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-09-29,4,29,9
69504,169851272,09/29/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650206,F,K,94,0.0,18-24,M,BLACK,1000579.0,202425.0,40.722279730000025,-73.94109198899997,2017-09-29,4,29,9
69527,169870184,09/29/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,18-24,M,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-09-29,4,29,9
